park_id	park_name	beg_date	end_date	is_active	n_games	lng	lat	city	state_id	country_id
MIN03	Hubert H. Humphrey Metrodome	1982-04-06	2009-10-06	false	2242	-93.26	44.97	Minneapolis	MN	US
MIN04	Target Field	2010-04-12	2013-09-29	true	324	-93.28	44.98	Minneapolis	MN	US
NEW01	Howard Avenue Grounds	1875-04-26	1877-09-22	false	27	-72.93	41.29	New Haven	CT	US
NEW02	Hamilton Park	1875-04-21	1875-04-21	false	1	-72.95	41.32	New Haven	CT	US
NEW03	Beyerle's Park	1888-09-02	1888-09-02	false	1	-81.66	41.46	Newburgh Township	OH	US
NWK01	Wiedenmeyer's Park	1904-07-17	1904-07-17	false	1	-74.15	40.72	Newark	NJ	US
NYC01	Union Grounds (Brooklyn)	1871-05-25	1878-07-26	false	315	-73.96	40.7	Brooklyn	NY	US
NYC02	Capitoline Grounds	1872-05-06	1872-10-31	false	18	-73.95	40.68	Brooklyn	NY	US
NYC04	Polo Grounds II (Southwest Diamond)	1883-05-30	1883-09-04	false	13	-73.95	40.8	New York	NY	US
NYC19	Washington Park IV	1914-05-11	1915-09-30	false	154	-73.99	40.67	Brooklyn	NY	US
NYC06	Metropolitan Park	1884-05-13	1884-08-23	false	33	-73.94	40.79	New York	NY	US
NYC07	Grauer's Ridgewood Park	1886-05-02	1886-09-19	false	14	-73.9	40.7	Brooklyn	NY	US
NYC14	Polo Grounds V	1911-06-28	1963-09-18	false	4490	-73.94	40.83	New York	NY	US
NYC11	Eastern Park	1890-04-28	1897-10-02	false	554	-73.9	40.67	Brooklyn	NY	US
NYC12	Washington Park III	1898-04-30	1912-10-05	false	1125	-73.99	40.68	Brooklyn	NY	US
NYC13	Hilltop Park	1903-04-30	1912-10-05	false	776	-73.94	40.84	New York	NY	US
NYC15	Ebbets Field	1913-04-09	1957-09-24	false	3447	-73.96	40.66	Brooklyn	NY	US
NYC21	Yankee Stadium II	2009-04-16	2013-09-26	true	405	-73.93	40.83	New York	NY	US
NYC20	Citi Field	2009-04-13	2013-09-29	true	405	-73.85	40.76	New York	NY	US
NYC18	Wallace's Ridgewood Park	1887-04-24	1890-06-08	false	77	-73.91	40.69	Brooklyn	NY	US
OAK01	Oakland-Alameda County Coliseum	1968-04-17	2013-09-22	true	3654	-122.2	37.75	Oakland	CA	US
PEN01	Pendleton Park	1891-04-25	1891-08-13	false	45	-84.45	39.12	Cincinnati	OH	US
PHI10	Columbia Park (Philadelphia)	1901-04-26	1908-10-03	false	599	-75.18	39.98	Philadelphia	PA	US
PHI04	Recreation Park (Philadelphia)	1883-05-01	1886-10-09	false	224	-75.17	39.98	Philadelphia	PA	US
PHI07	Forepaugh Park	1890-04-30	1891-10-05	false	137	-75.15	39.99	Philadelphia	PA	US
PHI05	Keystone Park	1884-04-17	1884-08-07	false	35	-75.17	39.93	Philadelphia	PA	US
PHI14	Huntingdon Grounds II	1894-08-18	1894-09-06	false	22	-75.16	39.99	Philadelphia	PA	US
PHI08	University of Penn. Athletic Field	1894-08-11	1894-08-17	false	6	-75.2	39.95	Philadelphia	PA	US
PHI11	Shibe Park	1909-04-12	1970-10-01	false	6055	-75.16	40.0	Philadelphia	PA	US
PHI13	Citizens Bank Park	2004-04-12	2013-09-22	true	813	-75.17	39.91	Philadelphia	PA	US
PHO01	Chase Field	1998-03-31	2013-09-29	true	1296	-112.07	33.45	Phoenix	AZ	US
PIT04	Recreation Park (Pittsburgh)	1884-05-01	1890-09-30	false	429	-80.03	40.45	Pittsburgh	PA	US
PIT08	PNC Park	2001-04-09	2013-09-22	true	1051	-80.01	40.45	Pittsburgh	PA	US
PIT06	Forbes Field	1909-06-30	1970-06-28	false	4760	-79.95	40.44	Pittsburgh	PA	US
PRO01	Adelaide Avenue Grounds	1875-06-12	1875-06-22	false	2	-71.42	41.8	Providence	RI	US
PRO02	Messer Street Grounds	1878-05-01	1885-09-09	false	358	-71.44	41.81	Providence	RI	US
RCK01	Virginia State Agricultural Society Fair Grounds	1871-05-06	1871-08-03	false	6	-89.1	42.28	Rockford	IL	US
RIC01	Richmond Fair Grounds	1875-04-29	1875-05-01	false	2	-77.45	37.55	Richmond	VA	US
RIC02	Allens Pasture	1884-08-05	1884-10-15	false	22	-77.46	37.55	Richmond	VA	US
ROC02	Culver Field II	1898-08-27	1898-08-29	false	2	-77.58	43.15	Rochester	NY	US
ROC03	Ontario Beach Grounds	1898-08-28	1898-08-28	false	1	-77.61	43.26	Rochester	NY	US
